Line Name	Line Synonym	Grain Yield (kg ha -1)	Plant Height (centimeter)	Heading Date (days from planting)	Plump Grain (% by wt on 6/64” sieve )	Grain Protein (kg ha -1)	Stem Length (centimeter)	Kernel Weight (milligram)	Barley Color (&deg;asbc)	Malt Extract (percent)	Wort Color (asbc)	Wort Protein (percent)	Soluble Protein/ Total Protein (percent)	Diastatic Power (&deg;asbc)	Alpha Amylase (20&deg;du)	Malt Beta-glucan (parts per million)	Residual Beta-glucanase (percent)	Beta-glucanase Activity (u/kg malt)	Beta-glucanase Thermostability (u/kg malt)	Check
MN04-31	07MN-69	5933	90	50	89.1	14.928011204482	81.5	31.004655040645	82	78.356427499698	1.58	5.67	38.502121364574	187	75.236794220903	454	54.364222054005	357.32082922014	194.25468904245	0
MN04-33	07MN-70	5584	90	51	65.4	14.379768817204	82.5	28.101736747765	79	77.828682748729	1.48	5.08	36.519299957314	200	71.141295614365	280	57.390857837487	475.13443537144	272.68372834097	0
MN04-35	07MN-71	5470	87	50.5	41.6	14.82392964716	79.5	27.112743631159	82	78.401136295423	1.63	5.51	37.588056016357	211	101.34282539446	228	55.144430112716	552.79423303256	304.83522950177	0
MN04-37	07MN-72	5372	79.5	49	73.9	13.423562906725	73	30.17205269441	80	79.027789528569	1.58	5.57	42.801805356763	186	82.125137969095	140	54.319076496165	392.36956093719	213.13152195314	0
MN04-39	07MN-73	5127	83	50	60	13.902751521078	75.5	28.321036985662	79	77.939788468573	1.56	5.47	39.649174599748	202	74.369712037551	114	58.304153080042	415.86508248233	242.46661429694	0
MN04-41	07MN-74	4855	92.5	50	55.7	13.979308527886	83.5	27.59064923911	80	76.988518563991	1.52	5.35	38.834281489392	179	75.66870647816	365	55.179061838402	471.0172206648	259.90288346015	0
MN04-43	07MN-75	3985	89.5	48.5	22.8	14.852424568966	82.5	25.064443709797	78	83.121182707015	1.81	4.65	32.40976771888	183	68.016495157013	248	53.487093702376	585.25341516531	313.03504256583	0
MN04-45	07MN-76	4479	90	48	29.2	14.27043499044	83	25.992743899409	72	83.57864461309	2.09	4.33	32.254812681336	154	57.798345531919	341	40.014634645011	553.37534736006	221.43112346169	0
MN04-47	07MN-77	4331	84	48	31.7	14.035701650943	77	25.040898165045	81	83.650483112094	1.92	4.30	31.011476286455	170	61.876505145799	299	45.536600886701	573.03947104789	260.94269685434	0
MN04-49	07MN-78	4166	90	48	24	14.27371180104	82.5	25.225520747909	85	82.354333225264	1.63	4.59	33.484057971015	167	63.593015691339	254	44.124003668388	591.16603547937	260.84612318118	0
MN04-51	07MN-79	4922	83	48	27.8	14.419497736581	76.5	24.788133329059	78	83.856631740154	1.84	4.47	33.107516009437	164	65.994843660654	269	52.722824058655	599.68185467684	316.16920915295	0
MN04-53	07MN-80	3686	83.5	48.5	21.9	14.363743034719	76.5	25.692997859651	81	82.499192554568	1.83	4.31	31.077718930903	155	57.816378459221	418	48.138535392338	560.53457234213	269.83313349321	0
MN04-55	07MN-81	6078	90	49	48.5	13.893042912874	83	27.574584050488	68	84.7	1.83	4.30	31.262880719869	140	54.365749685098	390	51.919001066376	520.66607284244	270.32462391132	0
NEG2-03	07MN-82	5577	79.5	49	83.4	13.705241498809	74	29.538969430973	78	77.846718040286	1.83	4.65	35.057046337468	161	73.850340000097	307	52.06160585745	419.09000398248	218.18498606133	0
NEG2-48	07MN-83	5127	91	49	73.8	13.240076801997	83.5	29.414197043828	86	77.614369300532	2.09	4.28	33.550124842829	149	65.05503315775	438	51.138991134844	383.1744139849	195.95152959873	0
NEG2-59	07MN-84	5960	95	53	79.5	12.551342391304	88	31.614533613466	84	79.633129891073	1.6	4.72	39.53090200268	136	72.059474812316	373	49.532525374211	452.71795382166	224.24263535032	0
NEG4-37	07MN-85	4788	89.5	50	69.9	14.148495169344	82	28.915360107977	84	76.998894901464	1.42	4.90	36.920764263487	185	71.998041395951	365	55.969361882124	414.01293532338	231.72039800995	0
NEG5-02	07MN-86	5900	75	51.5	66.2	13.604913326111	69	28.789580604743	82	78.499284230096	1.56	5.11	38.948758596519	172	81.103883065201	292	61.021192733127	356.34520276954	217.44609297725	0
NEG5-125	07MN-87	4768	80	52	48.8	14.242166540459	73.5	27.188435209082	86	78.397785748287	1.46	5.23	39.347506237073	181	103.80866409597	282	68.583169655794	491.89467432192	337.35695901802	0
NEG5-76	07MN-88	5681	77.5	50.5	52.8	14.00985281432	71	28.164839323145	85	77.932140232804	1.77	4.98	36.568115942029	178	78.299091907939	244	62.378791840097	431.43441804751	269.12357756039	0
SEP10-20	07MN-89	5587	81	52	63.5	13.546787497287	74	30.593285281887	82	77.963907143761	1.85	5.50	43.270417906471	163	88.809919925367	148	64.207785038102	443.75100401606	284.92269076305	0
SEP10-51	07MN-90	6246	82.5	51	77.8	13.403299967448	75.5	29.701314225144	83	77.633626958919	1.46	4.86	36.898801395843	201	83.881432929926	258	58.871680601083	428.7564153178	252.41610738255	0
