Plot	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78
Stop time	10:28:42	10:29:00	10:29:14	10:29:32	10:29:50	10:30:12	10:30:28	10:30:46	10:31:02	10:31:22	10:31:40	10:31:56	10:32:14	10:32:30	10:32:48	10:33:04	10:33:28	10:33:48	10:34:04	10:34:28	10:34:50	10:35:06	10:35:22	10:35:40	10:36:04	10:36:22	10:36:38	10:36:58	10:37:24	10:37:42	10:38:02	10:38:20	10:38:38	10:39:06	10:39:30	10:39:48	10:40:02	10:40:18	10:40:34	10:41:02	10:44:04	10:44:30	10:44:48	10:45:04	10:45:20	10:45:46	10:46:06	10:46:24	10:46:54	10:47:10	10:47:26	10:47:46	10:48:02	10:48:22	10:48:40	10:48:58	10:49:28	10:49:46	10:50:18	10:50:34	10:50:58	10:51:16	10:51:32	10:51:48	10:52:14	10:52:32	10:52:48	10:53:10	10:53:40	10:54:08	10:54:28	10:54:48	10:55:06	10:55:24	10:55:40	10:55:58	10:56:16	10:56:32	10:56:50
495.136353	-48.423172	-47.50009155	-51.69668579	-51.86448669	-44.59411621	-53.75416565	-58.13008118	-72.71131897	-65.72055054	-71.69569397	-84.39604187	-74.82102203	-86.76821136	-83.35853577	-77.29311371	-85.16043854	-92.52800751	-94.32660675	-82.19838715	-86.80522156	-84.65608215	-93.81037903	-83.70683289	-84.805336	-93.12684631	-104.1972198	-102.5939484	-96.40325165	-101.3317108	-102.6123734	-96.78391266	-98.75379181	-95.51908112	-99.25468445	-105.8705597	-103.5155182	-103.2382355	-94.79109192	-93.59845734	-106.2436295	-24.83621216	-15.37165451	-18.235466	-9.679855347	3.813014984	15.56071854	18.81305313	20.35274887	19.37568283	25.86417007	24.88578415	29.69886398	33.09669113	42.05563736	41.5731163	40.85421371	33.06631851	41.64008713	28.67089462	26.96585464	21.39828873	25.88205338	23.6600914	21.27749252	18.36515427	24.90813828	23.11377335	17.37995529	25.75744247	15.16040421	23.71728897	24.19410324	22.11515427	18.56110764	30.73243332	33.55718613	29.49161148	25.37409592	35.42746353
495.507996	-54.50457764	-47.81269836	-44.62626648	-46.16531372	-52.28918457	-58.90769959	-61.83123779	-66.20394897	-66.35461426	-71.56256104	-81.76099396	-84.85921478	-89.86387634	-85.04170227	-77.88631439	-85.34976959	-93.80762482	-90.84320831	-84.24472809	-88.44761658	-92.2731781	-92.38518524	-84.90563202	-84.26816559	-88.14890289	-97.64408875	-93.13382721	-95.42156219	-100.8749542	-101.5095749	-96.24645233	-102.6163788	-99.26053619	-93.54956818	-107.9972	-107.4587784	-106.575943	-96.35258484	-98.59125519	-108.0066452	-22.54975128	-12.80256271	-12.87908173	-2.828811646	10.62269211	20.30966568	13.78951645	24.41528702	12.93881607	23.50620651	27.89789963	28.79500198	35.78581619	51.4867363	43.29328537	44.10848618	39.75257492	39.04001999	29.46250534	36.39754105	25.90456009	24.45287704	31.27460861	30.225811	20.6104393	33.85572433	29.96144485	19.42336655	36.76525497	21.32273483	21.88421249	24.46068192	20.44361496	24.64241409	37.45921707	36.44842148	37.30764389	33.51381302	34.96757889
495.879547	-50.20291138	-51.78158569	-42.58372498	-43.15524292	-45.76901245	-52.91122437	-65.47749329	-63.03085327	-67.17614746	-74.36148071	-78.54679108	-85.55952454	-88.98998261	-85.66107941	-75.27793121	-81.00504303	-79.29109192	-87.91013336	-85.2274704	-83.6587677	-91.56070709	-91.83419037	-79.95522308	-87.5918808	-87.88034821	-93.17754364	-88.26392365	-96.12159729	-100.8483124	-94.17630768	-96.09897614	-97.38175964	-100.2027512	-97.96303558	-100.0575943	-105.6556549	-105.2170563	-103.592392	-99.25093079	-111.89608	-17.18478775	-10.30627823	-4.202079773	3.302436829	13.52304459	19.49469376	19.19343948	26.50810623	13.33528519	33.06826401	33.46294785	36.66106033	39.85667801	50.14877701	48.2118187	55.6471138	50.3230629	43.43388748	32.28200912	41.80081558	34.33547592	32.23892593	40.67561722	36.43672562	24.23748398	38.45158768	34.31518173	22.08134842	30.41940689	25.67671585	22.52330399	27.2801857	31.98467636	22.73772812	33.61655045	37.89535141	35.52443314	40.0476265	43.3182106
496.251068	-50.581604	-54.37892151	-41.87322998	-42.20249939	-45.78465271	-55.54916382	-62.26544189	-61.87559509	-67.55459595	-76.51534271	-74.32392883	-85.6552124	-91.34594727	-87.69406891	-79.24813843	-86.54917145	-82.21231079	-90.02386475	-89.31890869	-87.62897491	-95.53099823	-83.37368011	-80.29311371	-89.94777679	-84.58621979	-86.73394012	-87.47151947	-95.16763306	-96.86682129	-93.54524994	-102.1694717	-95.17687988	-101.6708374	-88.73361206	-98.65946198	-102.4409103	-100.5088577	-105.0198364	-102.9794617	-118.7342529	-9.517673492	-10.43613052	-1.867343903	11.93822098	25.75217056	24.37361526	20.80156326	33.68857956	15.06440353	32.81913376	44.39735031	42.42814255	41.30347061	50.22327042	53.97803879	52.16965866	52.21429825	43.95280838	41.36005783	44.41850662	41.96020889	36.83476639	40.91119766	45.2714119	29.88349533	41.67490005	44.48258591	23.85112381	29.40327835	30.79774094	26.11008835	28.24245071	35.65207291	28.42437363	31.79310226	33.7300911	43.9153862	44.76465988	40.56659317
496.622559	-46.06246948	-57.20153809	-51.2311554	-44.62174988	-43.24177551	-52.76428223	-59.1978302	-66.35253906	-67.27069092	-72.43806458	-73.95918274	-85.69319916	-84.96690369	-88.94324493	-83.76661682	-82.35012054	-86.20591736	-90.70819855	-87.01649475	-84.27711487	-84.02550507	-78.40825653	-76.05439758	-85.66807556	-84.78606415	-83.38233948	-89.44709778	-94.23722076	-92.02185822	-93.17980194	-98.41403961	-88.070755	-98.15727234	-98.01597595	-96.07390594	-103.9725189	-100.8697433	-101.1430283	-104.2688522	-114.2912521	0.855167389	-6.97026062	-1.592617035	17.38252258	28.6113205	25.89993286	24.06471252	36.46657562	25.9993515	40.48249817	50.88869476	51.21993256	49.3283844	56.02744293	53.88948059	60.43599701	53.53870392	51.17191315	39.89875031	42.9573822	41.54854584	43.08501434	38.44086456	51.23810577	35.20539093	41.74774933	40.35665131	30.06130219	23.05602264	35.8365097	26.74812317	31.18211365	43.96144104	25.91300201	31.98708344	45.46925354	41.3239975	47.01734161	43.10208893
496.994019	-42.96522522	-55.95973206	-49.90887451	-41.80703735	-44.58154297	-57.49331665	-53.39672852	-62.73054504	-64.69746399	-67.40315247	-73.24209595	-84.37094879	-83.03914642	-83.14076233	-88.65867615	-80.18024445	-93.72172546	-90.59676361	-90.0535202	-84.44803619	-83.83316803	-77.77187347	-72.23013306	-80.67298889	-80.35584259	-80.1632309	-83.36292267	-92.06708527	-87.87361908	-88.10402679	-92.9747467	-83.15596771	-89.40803528	-102.9505157	-95.19551086	-100.0667648	-96.27760315	-96.67179108	-101.9776382	-108.4471283	0.152767181	-9.127281189	-8.112110138	10.62105942	14.8632164	21.27894211	15.28442001	23.32529831	29.45427322	31.98571396	45.58129501	45.83195877	43.17348099	54.39342117	50.11621475	60.69815445	50.24969864	40.37408066	31.48254776	41.80792618	37.16974258	42.17822647	32.48753738	49.68519974	34.70254898	39.5490303	42.15446854	34.7265892	22.43268204	33.96129227	22.36949539	29.95270157	36.91810989	24.4820137	34.47234726	37.61835098	40.13490677	44.25338364	33.03072739
497.365387	-39.43925476	-54.36997986	-49.08575439	-42.07312012	-47.34864807	-51.10273743	-57.45513916	-54.96728516	-67.86869812	-63.19062805	-71.08695984	-89.80309296	-82.0943985	-85.46527863	-87.71396637	-73.10124207	-94.9565506	-89.45009613	-88.14011383	-86.20746613	-83.97821045	-83.08248901	-72.21360779	-77.83133698	-88.0883255	-77.92733002	-78.78578949	-87.77280426	-90.76338959	-86.83626556	-89.60726166	-86.40866089	-90.76398468	-102.5708618	-101.1135178	-101.2612305	-96.94721222	-99.48137665	-98.97405243	-104.1101456	-7.741577148	-1.992794037	-5.583312988	8.94921875	11.69792938	21.465271	19.0645752	22.42145538	32.99222565	36.89617157	45.40467072	49.40963745	50.9497757	56.75984955	45.41828156	68.8367691	48.94265747	38.17892456	31.06336212	45.30478668	38.93073273	39.74048615	43.77557373	46.27890015	38.84551239	38.88751984	39.87835693	34.58977509	27.50453186	29.98853302	22.67691803	29.16986847	37.7101059	28.78684235	42.49108124	38.28912354	36.00147247	48.07317352	33.78231812
497.736755	-39.78881836	-48.26533508	-47.41906738	-33.10466003	-48.34446716	-48.06388855	-59.58111572	-50.35520935	-58.81860352	-57.44880676	-72.08428192	-79.74249268	-81.35681915	-82.7098999	-79.30828857	-73.37249756	-91.07106781	-85.76648712	-85.54608154	-82.28166962	-82.19115448	-86.21903229	-76.23770905	-77.57788849	-87.35123444	-84.25405121	-74.57762909	-83.08014679	-91.84207153	-82.70874023	-83.98636627	-88.69887543	-85.18350983	-99.37237549	-98.84274292	-95.92282104	-92.13360596	-104.4766464	-95.16970825	-102.4452286	-13.97012329	-2.001159668	3.778743744	12.05106354	11.32682037	20.2869339	25.07376862	24.67537689	32.01624298	34.46681976	46.3266449	48.47509003	45.85710144	50.73932648	53.36371613	67.25662994	53.33602142	43.01634979	34.20542908	44.97483826	44.09148407	39.0067215	45.4237442	41.06423187	34.55802917	35.5292511	41.24396515	34.86528015	35.12876892	32.68650818	28.28235626	33.11946106	37.98581696	37.50067902	38.7289505	33.64078522	39.10315704	47.62248993	35.67289734
498.108063	-42.01622009	-43.0294342	-47.34735107	-40.29391479	-47.10284424	-41.49700928	-58.9447937	-55.48875427	-55.15625	-57.78111267	-68.86553955	-77.57298279	-80.55934906	-84.73783875	-78.55128479	-70.43626404	-88.21534729	-75.32331085	-82.69010925	-78.78025055	-79.73894501	-80.90131378	-83.10856628	-86.91194916	-92.00309753	-86.28199768	-79.10707855	-82.88848114	-89.91464996	-88.73256683	-85.97396088	-91.21150208	-93.1051712	-97.40470123	-104.9894638	-96.57875824	-96.422966	-100.2079391	-92.95963287	-99.14539337	-17.10593033	-0.692436218	6.420398712	19.37755203	18.53262711	28.82460403	31.55202866	32.24412918	37.1613884	37.23002243	54.70132065	49.21972275	50.19472885	54.79442215	59.96137619	63.9261055	51.29582596	49.6554451	42.66137314	41.60203171	41.40489578	44.55540085	45.32005692	35.83348465	34.6566658	32.96326828	38.39590073	34.07585526	38.45717239	36.05529404	31.69151688	36.00379562	37.59948349	35.13527298	34.74926376	39.79537582	39.564991	50.14357376	38.47649002
498.47934	-51.07627869	-47.24841309	-47.45159912	-41.40640259	-57.57608032	-49.02397156	-64.65719604	-64.87278748	-55.58282471	-65.75299072	-73.93274689	-79.5330658	-87.3228302	-84.55869293	-78.37226105	-73.08222198	-82.99073792	-78.81717682	-84.04468536	-78.68186951	-79.68077087	-85.16200256	-82.68758392	-90.12294769	-95.69892883	-90.09830475	-85.18369293	-92.67853546	-93.2875824	-89.88529968	-85.06780243	-96.88515472	-94.58095551	-105.136734	-98.79489899	-103.8678436	-102.3391647	-100.7146835	-98.71430206	-95.85734558	-17.58181	0.930976868	4.974143982	16.55777359	5.574645996	26.00468826	28.81285477	26.43613052	34.70486832	38.28544235	52.04262161	47.53000259	45.8407402	51.77257156	62.42937088	55.53574753	42.94473648	43.24219894	38.38794327	38.58031082	42.09726334	37.89969254	31.03502274	37.05035782	29.73732376	25.41885757	32.10371017	31.86168289	26.59239578	35.09291458	27.296772	38.19052505	28.03642654	31.58858109	27.65004349	38.46952438	33.07057571	43.81137466	30.52845383
